Marital_Status,Application_Mode,Application_Order,Course,Daytime_Evening_Attendance,Previous_Qualification,Previous_Qualification_Grade,Nacionality,Mothers_Qualification,Fathers_Qualification,Mothers_Occupation,Fathers_Occupation,Admission_Grade,Displaced,Educational_Special_Needs,Debtor,Tuition_Fees_Up_to_Date,Gender,Scholarship_Holder,Age_at_Enrollment,International,Curricular_Units_1st_Sem_Credited,Curricular_Units_1st_Sem_Enrolled,Curricular_Units_1st_Sem_Evaluations,Curricular_Units_1st_Sem_Approved,Curricular_Units_1st_Sem_Grade,Curricular_Units_1st_Sem_Without_Evaluations,Curricular_Units_2nd_Sem_Credited,Curricular_Units_2nd_Sem_Enrolled,Curricular_Units_2nd_Sem_Evaluations,Curricular_Units_2nd_Sem_Approved,Curricular_Units_2nd_Sem_Grade,Curricular_Units_2nd_Sem_Without_Evaluations,Unemployment_Rate,Inflation_Rate,GDP,Target
1,16,3,9085,1,2,111.5,20,26,2,5,4,114.1,0,0,0,1,1,0,28,0,4,11,25,6,13.6,2,4,12,1,0,15.5,2,10.2,0.6,2.18,Graduate
1,1,1,9070,1,4,129.4,3,16,11,13,13,125.9,1,0,1,1,1,0,18,0,5,17,7,0,3.2,8,3,8,9,5,1.0,9,14.6,0.2,-2.96,Graduate
3,16,9,171,1,1,128.1,15,11,21,6,7,129.5,0,0,0,1,0,0,26,0,6,11,8,3,3.8,8,6,1,9,11,1.1,1,14.4,2.7,-1.72,Graduate
1,5,6,9147,1,9,141.3,5,4,6,10,14,122.4,1,0,0,1,1,0,43,0,13,16,10,7,2.4,0,9,15,25,10,11.3,7,9.0,-0.4,-1.27,Graduate
1,5,5,33,1,4,139.1,21,15,19,8,15,105.7,0,0,0,1,1,0,37,0,6,19,28,6,10.1,9,3,0,21,14,5.1,3,12.9,1.4,-0.73,Graduate
2,5,9,171,1,4,133.9,10,12,30,9,17,111.6,1,0,0,1,1,1,32,0,6,18,22,12,8.8,4,10,7,16,0,7.1,1,14.5,0.9,-0.52,Dropout
1,16,4,33,0,4,105.3,7,27,20,19,10,133.0,1,0,0,1,0,0,53,0,4,5,4,6,0.1,2,5,3,13,12,0.3,9,15.1,2.0,0.74,Graduate
2,10,0,9003,1,3,92.3,8,4,10,16,1,119.8,1,0,0,1,0,0,38,0,11,3,18,14,6.7,8,2,1,18,2,9.4,3,10.8,1.6,-0.63,Dropout
1,2,1,9003,1,10,143.7,3,21,24,7,9,134.3,1,0,0,1,0,1,38,0,13,15,19,6,1.6,6,10,14,14,5,0.3,4,15.2,0.8,1.65,Graduate
1,15,7,9070,1,4,141.2,18,2,33,5,10,127.1,0,0,0,1,1,1,33,0,9,13,19,9,10.4,3,13,4,14,3,15.4,8,13.7,-0.3,-3.21,Graduate
5,15,0,9070,1,10,115.0,17,28,29,10,4,124.4,0,0,0,1,0,0,33,0,6,1,15,10,8.5,4,9,0,14,10,12.2,7,9.7,-0.2,-1.69,Graduate
6,15,2,9130,1,12,135.2,16,34,30,2,16,131.5,1,0,0,1,1,0,42,0,4,9,22,10,8.3,8,12,16,7,14,7.9,1,10.1,2.3,-2.2,Enrolled
3,10,1,8014,0,1,126.9,13,33,6,5,0,118.2,1,0,0,1,1,0,53,0,4,10,8,6,13.2,3,9,2,25,1,11.5,0,8.3,1.4,-1.69,Dropout
1,7,4,9085,1,4,146.3,4,8,14,16,13,132.2,1,1,0,1,1,0,54,0,2,9,13,10,8.3,6,14,13,13,7,8.5,0,10.4,2.7,-2.54,Dropout
1,17,3,8014,0,6,131.3,3,8,3,6,14,121.5,1,0,0,1,1,1,54,0,8,15,17,6,8.8,4,11,10,0,5,2.9,0,10.3,3.4,2.53,Graduate
2,1,6,171,0,10,143.5,11,22,24,5,6,160.0,1,0,0,1,1,0,19,0,11,11,27,6,11.4,0,4,13,0,2,9.6,2,12.6,2.2,-0.34,Graduate
1,1,4,9130,1,6,120.8,2,27,19,12,7,112.3,1,0,0,1,1,0,25,0,8,7,29,4,5.4,0,8,8,16,7,16.5,5,9.8,3.3,0.66,Dropout
1,5,7,33,1,6,134.3,18,28,34,13,15,122.4,1,0,1,1,1,0,17,0,0,1,25,6,16.9,5,12,1,4,1,11.4,7,10.8,-0.7,1.64,Dropout
1,5,3,9147,1,14,123.8,4,11,9,18,12,122.9,0,0,0,1,0,0,35,0,3,10,15,4,5.1,1,4,5,12,12,14.8,5,8.2,1.6,-1.75,Enrolled
1,16,5,9119,1,4,120.7,17,27,30,7,4,109.4,1,0,0,1,1,0,30,0,10,5,17,12,16.4,4,14,16,22,12,4.5,3,13.6,0.4,2.55,Dropout
5,15,3,9238,0,12,95.1,6,1,32,12,2,136.4,0,0,0,0,1,0,54,0,12,4,19,6,14.6,1,9,2,13,14,7.5,2,7.4,0.1,-0.66,Enrolled
1,16,1,9003,1,9,143.9,10,28,13,19,12,121.4,0,0,0,1,1,0,18,0,10,2,15,3,16.3,9,6,4,19,7,5.0,5,13.7,0.5,0.77,Dropout
2,17,0,8014,1,6,156.2,11,27,18,8,18,96.1,1,1,0,1,0,0,23,0,2,11,23,11,3.3,0,10,15,15,8,13.6,8,8.6,2.9,-3.86,Graduate
1,15,0,9085,1,1,109.2,5,8,22,4,11,136.0,1,0,0,1,1,0,54,0,14,11,25,7,4.2,7,1,3,14,5,11.5,3,15.8,2.0,-0.86,Dropout
1,5,7,9147,1,2,140.4,18,24,4,10,18,118.7,1,0,0,1,1,0,44,0,3,1,15,6,15.3,3,0,3,8,10,10.3,2,15.9,2.7,-1.84,Dropout
1,2,3,9147,0,6,139.8,10,24,23,6,16,125.6,0,0,0,1,0,0,26,0,1,9,16,5,17.2,9,10,2,21,11,0.1,4,15.9,1.4,-3.79,Graduate
1,7,4,9003,1,1,122.3,9,22,7,5,10,135.8,1,0,0,1,1,0,41,0,14,8,26,11,13.6,4,12,19,20,7,15.4,5,7.1,0.4,-1.4,Dropout
6,16,7,9238,1,5,118.9,16,10,11,11,2,122.3,1,0,0,1,1,0,38,0,5,7,5,5,11.5,5,7,12,20,13,16.4,6,9.0,1.3,2.29,Graduate
3,7,6,9070,1,1,147.7,10,4,34,11,1,122.2,1,0,0,1,0,0,27,0,5,14,29,4,14.6,5,1,14,5,14,12.6,3,12.0,0.2,2.7,Graduate
5,7,7,9147,1,3,146.1,10,8,5,5,13,159.0,0,0,0,1,0,0,54,0,13,8,26,1,0.7,3,8,16,27,9,15.9,1,13.6,3.7,0.26,Dropout
4,7,7,171,1,9,136.8,4,15,25,3,16,99.0,1,0,0,1,1,1,26,0,6,5,16,5,15.4,1,9,10,17,7,15.1,7,14.3,2.7,3.38,Dropout
2,5,5,171,1,5,122.2,21,8,28,12,1,110.3,1,0,0,1,1,0,34,0,12,11,24,7,5.1,1,4,5,2,14,14.7,5,8.2,-0.5,2.93,Graduate
5,1,9,9070,1,14,146.3,14,29,14,11,17,112.8,1,0,0,1,1,0,21,1,13,11,20,1,1.0,0,3,9,18,7,13.3,8,14.7,3.7,1.01,Graduate
1,5,1,33,1,1,117.5,8,14,27,14,14,150.3,0,0,0,1,0,1,27,0,5,13,18,5,12.3,4,1,0,13,0,1.1,7,13.3,-0.1,-2.54,Graduate
1,7,5,9130,0,1,151.3,1,32,16,7,11,118.6,0,0,0,0,1,0,43,0,12,17,16,1,13.6,5,7,5,24,9,2.3,6,9.6,2.2,-3.14,Graduate
1,5,0,9070,1,10,154.5,16,7,27,12,15,130.1,0,0,1,1,0,0,43,0,7,16,3,7,11.3,9,1,18,19,9,15.2,6,7.1,0.9,0.94,Graduate
1,7,0,9238,1,12,147.7,17,33,2,10,15,120.8,1,0,0,1,1,1,52,1,3,7,9,13,6.3,1,11,12,13,10,7.2,2,15.2,1.6,-0.98,Graduate
1,10,2,171,1,9,135.1,10,27,19,10,6,134.8,0,0,0,1,1,0,29,0,13,4,21,14,2.1,2,9,6,14,1,13.6,3,8.8,2.4,-3.69,Enrolled
1,15,2,9147,1,3,91.8,6,1,23,10,5,126.8,1,0,0,0,1,0,44,0,1,8,23,3,13.8,2,8,12,21,13,3.6,1,10.3,0.6,2.77,Dropout
3,1,4,171,1,6,127.2,7,6,14,18,13,130.3,1,0,0,1,0,1,18,0,9,6,24,11,0.9,6,2,3,12,1,11.7,8,14.7,-0.3,-3.67,Graduate
1,10,0,9119,1,3,156.5,18,2,26,16,7,143.7,0,0,0,1,0,1,23,0,6,19,14,9,13.7,7,8,5,0,14,4.4,7,13.0,2.2,1.93,Graduate
1,2,9,9130,1,14,144.1,2,7,8,0,19,132.7,0,0,0,0,0,0,48,0,13,4,19,7,17.2,1,3,14,22,7,7.8,1,8.2,-0.7,0.05,Dropout
1,5,5,9085,1,4,136.5,21,8,27,12,18,117.4,0,0,1,1,1,0,22,0,0,18,20,12,17.9,4,8,11,5,3,5.2,4,15.8,0.2,-0.84,Graduate
1,2,6,9119,1,4,119.8,9,29,28,19,18,131.1,0,0,0,1,0,0,35,0,0,9,7,5,7.1,6,8,17,22,2,8.1,0,9.9,-0.8,1.08,Dropout
3,16,9,33,1,3,145.4,5,16,4,8,11,158.4,1,0,1,1,0,0,31,0,13,3,15,7,2.0,7,4,5,25,11,17.7,5,12.4,2.5,-0.4,Graduate
1,5,2,9003,1,14,106.4,8,29,11,10,8,134.3,0,0,0,1,1,0,39,1,10,2,15,9,1.7,9,3,4,18,14,12.0,4,12.7,3.2,0.42,Enrolled
6,17,3,9119,1,6,127.4,5,31,24,8,8,129.0,1,0,0,1,0,0,40,0,13,3,18,13,8.8,2,2,11,16,8,15.5,1,12.1,0.7,0.33,Dropout
3,17,9,33,0,5,156.1,15,22,28,16,4,109.2,0,0,0,0,0,0,44,0,4,19,19,9,14.3,5,10,16,20,4,8.7,2,12.2,0.6,0.49,Dropout
1,15,9,33,1,12,117.9,8,10,18,6,13,136.4,1,0,0,1,1,1,40,0,4,13,25,8,0.9,8,9,9,21,13,0.3,3,9.2,-0.4,3.44,Dropout
1,10,9,9085,1,12,139.1,5,4,21,7,0,138.3,1,0,0,1,0,0,38,0,4,7,27,11,3.0,3,14,7,25,1,12.9,1,15.6,-0.6,-1.84,Graduate
3,15,9,9003,1,3,103.6,5,25,26,1,2,131.1,0,0,0,1,1,0,22,0,2,4,5,6,10.6,5,3,15,3,10,17.4,3,11.4,0.3,-1.73,Graduate
2,16,9,8014,0,12,120.2,20,13,3,13,10,128.5,1,0,0,1,0,1,20,0,13,4,4,0,1.5,3,5,14,7,12,5.2,1,8.3,3.1,-1.32,Enrolled
2,7,2,9070,1,3,132.7,17,17,13,9,3,163.8,0,0,0,1,0,0,50,0,5,10,14,0,15.8,4,7,13,10,9,11.9,2,14.6,1.9,2.77,Graduate
3,15,0,9147,1,4,135.3,9,8,28,8,19,138.1,1,0,1,0,1,1,43,1,14,5,7,10,9.1,2,11,17,18,1,7.8,0,8.3,-0.7,0.13,Dropout
1,15,7,9238,1,1,161.0,2,23,14,0,0,143.1,1,0,1,1,0,0,38,0,1,4,9,0,7.0,3,2,15,26,4,9.7,2,14.8,1.9,2.97,Graduate
1,17,9,9238,1,5,122.4,1,7,1,11,5,127.9,1,0,0,1,1,0,32,0,9,0,10,12,0.2,2,9,7,7,0,1.2,7,12.0,-0.6,1.67,Graduate
1,7,9,9238,1,12,138.9,21,32,28,13,9,125.3,1,0,0,1,1,1,48,0,7,13,1,1,2.0,3,8,0,14,11,13.6,0,7.4,1.1,-2.16,Graduate
4,17,1,8014,1,2,138.5,11,24,11,18,3,135.2,0,0,0,1,1,0,21,0,7,16,11,10,14.9,5,10,6,20,13,15.4,9,8.1,3.4,0.26,Graduate
2,5,0,9070,1,4,121.2,15,1,4,10,16,125.3,0,0,0,0,1,0,49,0,4,1,24,14,12.6,1,5,3,8,7,1.3,4,15.5,2.0,-3.45,Dropout
1,7,7,9238,0,14,144.3,1,27,34,8,4,126.3,0,0,0,1,1,0,51,0,5,2,16,12,0.4,9,14,5,28,11,9.9,3,8.2,2.0,0.17,Graduate
1,10,6,9070,0,2,140.0,7,6,1,16,1,133.0,0,0,0,0,1,0,21,0,1,5,17,10,17.5,0,3,14,26,4,13.7,0,12.3,2.2,-2.62,Dropout
1,15,6,9147,1,10,125.9,19,31,10,19,0,120.3,0,0,0,1,1,0,39,0,4,17,7,14,6.4,7,2,10,24,5,17.7,6,9.8,-0.2,-0.95,Dropout
1,17,3,9238,1,12,132.9,15,12,17,5,15,129.9,1,0,0,0,1,1,53,0,7,11,7,14,10.9,2,4,9,4,6,5.9,4,14.2,-0.4,0.3,Enrolled
2,7,8,9003,1,3,115.6,6,26,7,5,6,128.0,1,0,1,1,1,1,48,0,9,5,13,10,13.0,3,7,6,26,6,6.1,9,14.1,0.9,-2.6,Dropout
2,16,5,33,1,12,116.7,20,25,13,19,2,139.6,1,0,0,1,1,0,30,0,13,1,23,2,17.2,3,6,13,10,6,15.8,1,14.2,0.1,1.64,Dropout
4,16,1,9238,1,6,129.7,10,4,22,9,13,119.1,1,0,1,1,1,0,49,0,13,17,1,5,16.0,3,6,5,3,10,12.6,4,8.9,-0.7,-0.43,Graduate
1,15,0,9070,1,6,141.2,12,6,1,9,18,101.0,1,0,0,1,0,0,21,0,6,12,7,8,10.8,7,12,4,12,8,17.2,1,13.4,0.7,2.55,Graduate
1,10,0,33,1,9,125.0,13,13,28,16,15,123.0,0,1,0,1,1,0,51,0,11,15,20,14,2.5,3,10,19,19,8,8.7,3,7.8,1.4,-1.71,Enrolled
2,2,8,9085,1,5,120.8,15,25,33,13,5,132.2,0,0,0,1,0,0,54,0,14,12,19,7,15.2,2,12,14,16,5,11.2,6,7.7,-0.6,1.74,Graduate
3,17,3,9238,1,6,126.5,19,31,13,4,0,139.5,0,0,0,1,1,0,38,0,14,16,1,12,14.7,5,13,17,22,4,1.4,9,10.7,3.6,-3.88,Dropout
2,10,4,9238,1,1,142.4,17,22,1,2,6,118.0,1,1,1,1,0,0,22,0,8,3,24,2,11.5,1,6,0,3,7,17.4,7,12.4,2.6,0.12,Graduate
3,1,2,9119,1,3,109.7,13,21,25,10,10,134.0,1,0,0,1,0,0,50,0,11,5,18,14,17.8,9,4,19,21,4,6.6,4,9.8,2.5,2.34,Enrolled
1,1,3,33,1,12,142.9,2,15,21,18,17,141.8,1,0,0,1,1,0,20,0,8,13,13,10,9.5,8,7,10,6,11,10.2,6,9.7,3.2,2.23,Enrolled
1,1,7,9238,1,5,137.7,18,3,33,19,8,136.8,0,0,1,1,0,1,18,0,7,18,11,1,3.8,4,7,0,21,2,10.5,4,7.7,1.9,0.22,Dropout
1,15,3,9003,0,5,109.7,11,26,34,18,2,116.7,1,0,0,1,1,1,25,0,1,12,4,14,4.6,6,10,16,10,3,8.2,8,8.8,1.2,0.64,Graduate
1,16,8,9147,1,10,126.5,5,17,3,13,7,118.1,0,0,0,1,1,0,46,0,14,10,19,13,7.3,0,8,17,1,12,14.2,9,12.5,1.4,1.74,Graduate
1,5,8,33,1,2,139.5,4,8,30,14,7,132.7,1,0,1,1,0,0,53,0,3,14,24,13,7.6,1,12,5,24,12,10.5,8,13.1,0.1,0.05,Graduate
1,17,5,9147,1,9,101.3,2,11,3,2,0,148.1,1,0,0,1,0,1,35,0,12,15,19,13,15.0,2,3,17,15,8,4.1,7,15.2,0.9,2.01,Dropout
2,16,1,9130,1,12,114.5,16,24,18,2,9,127.2,0,0,0,1,0,0,25,0,3,0,20,6,16.0,3,3,6,29,2,6.2,1,10.4,2.8,0.5,Graduate
1,5,9,9070,1,9,107.2,7,8,23,8,14,124.9,0,0,0,1,1,0,21,0,7,16,28,8,6.9,9,5,14,4,4,17.2,5,9.1,1.5,-2.92,Graduate
1,5,6,9085,1,5,121.3,8,30,8,10,9,109.2,1,0,0,0,1,0,32,0,1,15,10,11,17.0,2,11,14,11,8,15.1,8,13.5,0.0,1.75,Graduate
5,16,8,9119,1,6,145.6,8,1,9,14,7,122.3,1,0,0,1,1,0,42,0,9,4,23,7,16.7,1,6,3,12,3,17.4,5,13.1,3.1,-1.35,Enrolled
1,17,5,9003,0,4,142.0,2,34,2,16,1,117.7,0,0,0,0,0,0,23,0,8,15,19,4,7.4,5,10,19,1,3,4.5,6,9.5,2.1,2.63,Dropout
1,15,2,9085,1,9,122.4,15,20,2,11,17,127.4,1,0,0,1,0,0,18,0,11,13,10,1,15.6,0,8,5,0,0,8.0,6,13.9,1.9,-1.15,Dropout
3,10,6,9119,0,1,145.4,5,34,27,16,1,107.3,1,0,0,1,0,0,30,0,1,3,17,11,2.0,7,3,7,10,9,1.3,3,8.8,3.6,-2.22,Graduate
1,5,4,9085,1,4,140.0,19,34,5,8,18,122.7,0,0,0,1,1,1,47,0,3,10,26,11,9.2,0,1,6,19,11,8.3,9,10.1,3.4,-1.77,Dropout
1,2,0,9085,1,3,149.1,10,13,1,12,8,113.9,0,0,1,1,0,0,38,0,2,2,9,13,12.8,9,6,4,3,1,4.2,7,9.2,-0.1,-2.68,Graduate
1,16,2,171,0,4,128.7,9,6,22,7,9,139.2,0,0,0,1,0,0,49,0,9,18,15,12,6.2,1,6,5,24,0,7.5,9,12.8,2.5,-0.67,Dropout
1,16,4,9070,1,1,138.1,20,25,10,5,3,115.8,0,0,0,1,1,0,47,0,7,1,17,4,0.4,2,4,6,17,2,5.5,1,11.4,3.3,1.6,Graduate
5,1,6,8014,1,2,180.6,8,27,24,6,0,119.6,0,0,0,1,1,1,35,0,0,12,25,5,1.0,3,14,8,16,12,0.8,2,13.6,3.1,0.94,Graduate
3,10,2,9119,1,12,125.4,5,31,15,0,10,130.7,0,0,0,0,1,1,22,0,6,12,8,6,16.1,4,13,1,7,11,4.8,9,8.0,3.2,2.54,Enrolled
2,1,5,9003,1,9,129.0,19,3,33,9,1,121.1,0,0,1,1,1,0,26,0,6,8,29,11,9.3,3,7,15,27,12,9.4,7,9.3,2.8,-3.9,Enrolled
4,16,4,33,1,6,127.6,13,28,23,14,3,157.7,0,0,0,1,1,1,28,0,14,6,28,8,2.7,5,14,1,10,1,1.5,2,11.4,3.6,1.69,Dropout
3,16,0,9085,0,2,128.6,14,4,14,13,14,139.1,1,0,0,1,1,1,42,0,8,11,25,5,16.2,2,10,8,19,3,11.3,8,7.5,0.4,0.55,Enrolled
1,5,9,9085,0,1,138.4,8,17,18,3,19,127.2,1,0,0,1,1,0,20,0,12,15,5,4,17.0,7,12,5,1,2,12.4,5,13.6,-0.1,3.24,Graduate
4,10,5,9119,1,2,130.9,16,34,25,3,12,131.8,0,0,1,1,0,1,21,0,9,17,11,6,5.9,1,8,8,23,2,6.9,9,9.5,-0.5,2.23,Graduate
1,7,7,9130,1,9,109.5,5,20,22,8,0,96.4,1,0,0,1,1,1,46,0,7,15,0,2,10.5,8,5,7,12,7,16.4,8,12.4,2.9,-1.94,Graduate
3,2,0,8014,0,2,130.3,1,13,7,14,1,143.0,0,0,0,1,0,0,40,0,5,4,9,8,5.9,6,6,7,12,14,1.5,1,15.1,1.2,2.48,Enrolled
4,17,1,9085,1,3,122.1,19,5,26,11,5,133.7,1,0,0,1,1,1,51,0,5,11,1,4,13.1,7,8,4,15,2,11.3,1,9.3,0.4,2.57,Dropout
1,5,3,9238,1,10,104.1,19,24,24,8,6,126.0,1,0,0,0,1,0,21,0,5,0,12,14,17.1,5,11,13,23,10,13.2,2,13.7,2.2,2.18,Enrolled
1,16,1,171,1,9,147.2,17,17,13,2,18,134.4,1,0,1,1,1,1,21,0,4,9,8,10,0.5,4,7,8,0,4,14.1,3,12.7,-0.8,-0.08,Graduate
1,17,8,9147,0,12,122.0,21,31,6,14,3,135.9,1,0,0,1,1,0,24,0,13,8,7,13,8.5,4,5,10,19,7,8.1,7,8.6,0.1,2.37,Dropout
1,5,9,171,1,4,135.8,10,28,21,10,17,121.6,1,0,0,1,1,0,51,0,0,17,24,12,14.4,6,1,1,9,4,4.8,2,13.6,0.9,-1.67,Graduate
3,2,7,8014,1,9,82.7,5,1,7,5,8,131.9,0,0,0,1,1,1,17,0,1,3,29,12,12.4,3,14,8,25,6,17.3,0,7.6,0.2,-1.42,Dropout
4,16,7,9238,0,1,137.5,7,2,18,14,10,140.6,1,0,0,1,1,1,18,0,10,0,26,13,3.3,0,1,2,12,9,16.7,7,11.7,0.7,0.85,Enrolled
1,2,3,171,0,2,125.3,16,33,15,6,4,132.9,1,0,0,1,1,0,23,0,11,19,11,8,7.1,5,3,5,20,4,17.7,2,8.1,-0.1,-3.85,Graduate
1,17,4,9147,1,9,106.7,3,29,8,18,0,123.7,1,0,0,0,1,0,31,0,5,12,12,13,8.4,4,10,18,0,9,13.0,3,13.2,-0.8,0.87,Graduate
1,7,3,33,1,2,121.7,12,4,16,13,1,130.9,0,0,0,0,1,0,30,0,1,4,5,2,13.4,6,12,9,14,7,14.1,0,9.7,1.4,-1.63,Graduate
1,5,8,9070,1,6,119.7,14,18,3,3,2,145.0,1,0,0,1,1,1,29,0,4,17,18,7,8.3,0,6,1,21,4,16.7,4,14.3,-0.5,2.72,Enrolled
1,15,1,33,1,14,141.3,20,24,9,0,16,137.2,1,0,1,1,1,0,45,0,9,5,26,6,5.7,6,3,17,16,1,8.0,0,11.4,2.4,-0.93,Graduate
1,5,7,9070,1,12,131.4,1,32,26,12,1,111.9,1,0,0,1,1,1,18,1,0,19,19,14,7.5,9,7,7,17,14,2.9,9,7.7,-0.5,1.61,Graduate
5,1,1,9130,1,5,107.2,7,9,26,10,0,134.6,0,0,0,1,1,1,23,0,0,4,13,3,17.4,1,5,8,24,8,10.1,0,12.4,2.6,-2.0,Dropout
1,10,0,9130,1,14,136.6,18,16,30,17,1,132.9,0,0,0,1,1,0,26,0,5,11,22,9,0.8,6,2,16,7,10,8.6,8,7.1,-0.5,-1.57,Dropout
1,10,9,9130,1,9,98.9,4,21,27,8,7,142.1,0,0,0,1,1,0,36,0,0,11,12,5,6.0,9,0,1,10,5,14.0,8,9.6,3.6,-2.66,Graduate
2,1,2,171,1,1,113.1,16,30,16,10,12,127.4,0,0,0,0,1,0,41,0,3,12,29,3,3.6,1,8,8,19,14,13.3,0,9.4,0.8,-2.24,Graduate
1,16,8,9130,1,10,130.2,11,3,4,5,13,122.2,0,0,0,1,0,0,42,1,1,4,23,2,7.2,2,13,1,15,3,5.0,9,15.8,0.6,-3.24,Graduate
6,10,2,9070,1,12,120.6,18,33,19,15,11,109.2,0,0,0,0,1,0,22,0,8,19,29,13,10.5,6,0,14,10,4,1.8,2,9.2,0.6,0.61,Graduate
6,2,8,33,1,5,147.9,16,31,34,4,8,118.0,1,0,0,1,0,0,20,0,0,16,15,5,3.5,1,7,2,24,10,10.3,4,13.1,0.3,2.3,Enrolled
